num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; ABC; 2/11/2022; 15:19:26; 0; 600; 0; 0; 0; 0; 1007.90; 22.95; 43.10; 44.62
2; C-B; 2/11/2022; 15:29:42; 608; 600; 9864; 111090; 6462; 355; 1007.90; 22.95; 43.10; 44.62
