num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; A-C; 2/11/2022; 14:36:14; 0; 600; 0; 0; 0; 0; 1007.16; 20.77; 45.80; 50.80
2; ABC; 2/11/2022; 14:46:43; 620; 600; 13166; 143290; 8444; 13; 1007.16; 20.77; 45.80; 50.80
3; ABC; 2/11/2022; 14:56:43; 1220; 600; 11912; 123675; 7111; 13; 1007.47; 22.78; 41.31; 48.26
4; ABC; 2/11/2022; 15:6:42; 1820; 600; 11117; 115397; 6727; 17; 1007.47; 22.78; 41.31; 48.26
5; ABC; 2/11/2022; 15:16:43; 2420; 600; 10640; 109812; 6463; 14; 1007.74; 23.28; 40.26; 45.98
