num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; A-C; 2/11/2022; 16:33:58; 0; 600; 0; 0; 0; 0; 1005.58; 22.24; 39.50; 64.02
2; A-C; 2/11/2022; 16:44:20; 614; 600; 9601; 108206; 6248; 108; 1005.58; 22.24; 39.50; 64.02
