num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; A-B; 9/11/2022; 14:40:46; 0; 600; 0; 0; 0; 0; 995.84; 21.24; 51.15; 146.00
2; A-C; 9/11/2022; 14:52:6; 672; 600; 11459; 114312; 8844; 1600; 995.84; 21.24; 51.15; 146.00
3; A-C; 9/11/2022; 15:2:7; 1272; 600; 11319; 104894; 8190; 1638; 996.04; 21.88; 46.71; 144.32
