num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; A-C; 9/11/2022; 16:4:49; 0; 600; 0; 0; 0; 0; 1000.20; 21.12; 46.79; 109.19
2; A-C; 9/11/2022; 16:15:22; 625; 600; 10064; 105991; 6617; 966; 1000.20; 21.12; 46.79; 109.19
