num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; A-C; 9/11/2022; 15:8:43; 0; 600; 0; 0; 0; 0; 996.91; 20.99; 49.52; 136.97
2; A-C; 9/11/2022; 15:19:20; 628; 600; 10900; 107642; 7443; 1258; 996.91; 20.99; 49.52; 136.97
3; A-C; 9/11/2022; 15:29:21; 1229; 600; 10706; 99966; 7040; 1272; 997.06; 21.50; 48.04; 135.66
